iter	Passed	Remaining
0	194	193969
1	195	97334
2	196	65275
3	198	49472
4	200	39938
5	202	33481
6	203	28798
7	204	25382
8	206	22698
9	208	20608
10	209	18819
11	211	17411
12	213	16193
13	214	15132
14	216	14216
15	217	13375
16	218	12635
17	219	11969
18	221	11419
19	222	10905
20	224	10477
21	226	10062
22	228	9693
23	229	9340
24	231	9015
25	232	8693
26	233	8397
27	234	8124
28	235	7872
29	237	7669
30	238	7463
31	239	7246
32	241	7083
33	242	6898
34	243	6721
35	245	6561
36	245	6400
37	246	6246
38	247	6099
39	248	5963
40	249	5841
41	250	5716
42	251	5600
43	252	5487
44	253	5379
45	254	5277
46	255	5183
47	256	5090
48	257	5004
49	258	4919
50	259	4834
51	260	4752
52	261	4678
53	263	4608
54	264	4544
55	265	4476
56	266	4412
57	267	4350
58	269	4298
59	271	4247
60	272	4192
61	273	4141
62	275	4093
63	276	4048
64	278	4001
65	279	3955
66	280	3911
67	282	3869
68	284	3832
69	285	3796
70	287	3760
71	289	3725
72	290	3691
73	292	3659
74	294	3627
75	295	3595
76	297	3565
77	299	3536
78	300	3504
79	302	3476
80	303	3448
81	305	3420
82	306	3384
83	307	3356
84	309	3329
85	310	3304
86	312	3278
87	313	3251
88	314	3220
89	315	3191
90	317	3166
91	318	3143
92	319	3120
93	321	3097
94	322	3076
95	324	3056
96	326	3036
97	327	3015
98	328	2990
99	329	2965
100	330	2944
101	332	2926
102	333	2908
103	335	2891
104	337	2873
105	338	2854
106	340	2838
107	341	2821
108	342	2798
109	343	2779
110	344	2761
111	346	2744
112	347	2726
113	348	2710
114	349	2692
115	351	2676
116	352	2658
117	353	2642
118	354	2625
119	356	2611
120	358	2602
121	359	2590
122	361	2580
123	365	2580
124	367	2574
125	370	2571
126	372	2560
127	374	2551
128	375	2535
129	376	2518
130	377	2501
131	378	2486
132	379	2471
133	380	2458
134	381	2445
135	382	2432
136	384	2419
137	385	2405
138	386	2393
139	387	2380
140	388	2369
141	389	2355
142	390	2341
143	391	2325
144	391	2310
145	392	2296
146	393	2282
147	393	2267
148	394	2254
149	395	2240
150	396	2227
151	396	2213
152	397	2200
153	398	2188
154	399	2175
155	399	2163
156	400	2151
157	401	2139
158	402	2126
159	402	2114
160	403	2101
161	403	2089
162	404	2078
163	405	2067
164	406	2055
165	406	2043
166	407	2034
167	409	2026
168	410	2017
169	411	2010
170	413	2002
171	414	1994
172	415	1986
173	416	1978
174	418	1972
175	419	1964
176	420	1957
177	422	1949
178	423	1942
179	424	1934
180	425	1926
181	426	1918
182	428	1911
183	429	1904
184	430	1896
185	431	1890
186	433	1882
187	433	1873
188	434	1864
189	435	1857
190	436	1850
191	437	1842
192	439	1836
193	440	1829
194	441	1823
195	442	1816
196	444	1810
197	445	1803
198	446	1796
199	447	1790
200	448	1783
201	449	1777
202	450	1770
203	452	1764
204	453	1757
205	454	1750
206	455	1743
207	456	1736
208	457	1730
209	458	1724
210	459	1718
211	460	1712
212	461	1706
213	462	1699
214	463	1692
215	464	1686
216	465	1681
217	466	1674
218	468	1669
219	469	1663
220	470	1658
221	471	1653
222	473	1648
223	474	1643
224	475	1637
225	476	1632
226	477	1627
227	479	1622
228	480	1616
229	481	1611
230	482	1605
231	483	1600
232	484	1594
233	485	1587
234	486	1582
235	487	1577
236	488	1572
237	489	1567
238	490	1561
239	491	1555
240	492	1549
241	492	1543
242	493	1538
243	494	1532
244	495	1527
245	496	1522
246	497	1516
247	498	1511
248	499	1506
249	500	1502
250	501	1497
251	502	1492
252	503	1486
253	504	1481
254	505	1477
255	506	1471
256	506	1465
257	507	1459
258	508	1454
259	509	1449
260	510	1444
261	511	1440
262	512	1435
263	513	1430
264	514	1426
265	515	1421
266	516	1417
267	517	1413
268	518	1408
269	519	1404
270	520	1399
271	520	1393
272	521	1388
273	521	1382
274	522	1377
275	523	1372
276	524	1367
277	524	1363
278	525	1357
279	526	1352
280	526	1348
281	527	1343
282	528	1339
283	529	1334
284	530	1330
285	531	1325
286	531	1321
287	532	1317
288	533	1313
289	534	1308
290	535	1303
291	535	1298
292	536	1294
293	537	1289
294	537	1285
295	538	1281
296	539	1277
297	540	1272
298	540	1267
299	541	1263
300	542	1258
301	542	1254
302	543	1250
303	544	1246
304	545	1242
305	546	1239
306	547	1235
307	548	1231
308	549	1228
309	550	1224
310	551	1220
311	552	1217
312	553	1213
313	554	1210
314	555	1206
315	555	1202
316	556	1198
317	557	1194
318	557	1191
319	558	1187
320	559	1184
321	560	1181
322	561	1177
323	562	1174
324	563	1171
325	564	1168
326	566	1164
327	567	1162
328	568	1159
329	569	1156
330	570	1152
331	571	1149
332	572	1146
333	573	1143
334	574	1140
335	575	1137
336	577	1135
337	577	1131
338	578	1127
339	579	1124
340	580	1121
341	581	1118
342	582	1114
343	583	1111
344	583	1108
345	584	1105
346	586	1102
347	587	1100
348	587	1096
349	588	1093
350	590	1091
351	591	1089
352	592	1086
353	593	1083
354	594	1080
355	595	1077
356	596	1074
357	597	1070
358	597	1067
359	598	1064
360	599	1060
361	600	1058
362	601	1054
363	601	1051
364	603	1049
365	603	1045
366	604	1043
367	605	1040
368	606	1036
369	607	1033
370	607	1030
371	608	1027
372	609	1025
373	610	1021
374	611	1018
375	611	1015
376	612	1012
377	613	1009
378	614	1006
379	615	1003
380	615	1000
381	616	997
382	617	995
383	618	992
384	619	989
385	620	987
386	621	983
387	621	980
388	622	977
389	623	974
390	623	971
391	624	968
392	625	965
393	625	962
394	626	959
395	627	956
396	627	953
397	628	950
398	629	948
399	630	945
400	631	942
401	632	940
402	632	937
403	633	934
404	634	932
405	635	929
406	635	926
407	636	923
408	637	920
409	637	918
410	638	915
411	639	912
412	639	909
413	640	906
414	641	903
415	641	900
416	642	897
417	642	894
418	643	892
419	644	889
420	645	887
421	645	884
422	647	882
423	647	880
424	648	877
425	649	875
426	650	873
427	651	870
428	652	867
429	652	865
430	653	862
431	654	860
432	654	857
433	655	854
434	656	852
435	656	849
436	657	847
437	658	844
438	659	842
439	659	839
440	660	837
441	662	835
442	662	833
443	663	831
444	665	829
445	665	827
446	666	824
447	667	822
448	668	819
449	668	817
450	669	815
451	670	812
452	671	810
453	671	807
454	672	805
455	673	803
456	674	800
457	674	798
458	676	796
459	676	794
460	678	792
461	678	790
462	679	788
463	680	786
464	681	784
465	682	781
466	682	779
467	683	776
468	684	774
469	684	772
470	685	769
471	686	767
472	686	765
473	687	762
474	688	760
475	689	758
476	690	756
477	691	755
478	692	752
479	692	750
480	694	748
481	694	746
482	695	744
483	696	742
484	696	740
485	697	737
486	698	735
487	698	733
488	699	731
489	700	728
490	701	726
491	701	724
492	702	722
493	703	720
494	704	718
495	705	716
496	706	715
497	707	713
498	708	710
499	709	709
500	710	707
501	711	705
502	711	703
503	712	700
504	712	698
505	713	696
506	714	694
507	714	692
508	715	689
509	715	687
510	716	685
511	717	683
512	717	681
513	718	679
514	719	677
515	720	676
516	721	674
517	722	672
518	723	670
519	724	668
520	724	666
521	725	664
522	726	662
523	726	660
524	727	657
525	727	655
526	728	653
527	729	651
528	729	649
529	730	647
530	731	645
531	731	643
532	732	641
533	733	639
534	733	637
535	734	635
536	735	634
537	736	632
538	737	631
539	738	629
540	739	627
541	740	625
542	740	623
543	741	621
544	741	619
545	742	617
546	743	615
547	743	613
548	744	611
549	745	609
550	745	607
551	746	605
552	747	603
553	747	601
554	748	600
555	749	598
556	750	596
557	751	594
558	751	592
559	752	591
560	753	589
561	753	587
562	754	585
563	755	583
564	755	581
565	756	580
566	757	578
567	757	576
568	758	574
569	758	572
570	759	570
571	760	568
572	760	567
573	761	565
574	762	563
575	763	561
576	763	559
577	765	558
578	765	556
579	766	554
580	767	553
581	768	551
582	768	549
583	769	548
584	769	546
585	770	544
586	771	542
587	771	540
588	772	538
589	773	537
590	773	535
591	774	533
592	774	531
593	775	530
594	776	528
595	777	526
596	777	524
597	778	523
598	779	522
599	780	520
600	781	518
601	782	517
602	783	515
603	783	513
604	784	512
605	785	510
606	785	508
607	786	506
608	786	505
609	787	503
610	788	501
611	788	500
612	789	498
613	789	496
614	790	494
615	791	493
616	791	491
617	792	489
618	793	488
619	793	486
620	794	484
621	794	482
622	795	481
623	795	479
624	796	477
625	797	476
626	797	474
627	798	472
628	798	471
629	799	469
630	800	467
631	800	466
632	801	464
633	802	463
634	802	461
635	803	459
636	803	458
637	804	456
638	805	454
639	805	453
640	806	451
641	807	450
642	807	448
643	808	446
644	808	445
645	809	443
646	809	441
647	810	440
648	811	438
649	811	437
650	812	435
651	813	433
652	813	432
653	814	430
654	814	429
655	815	427
656	816	426
657	816	424
658	817	423
659	818	421
660	818	419
661	819	418
662	819	416
663	820	415
664	821	413
665	821	412
666	822	410
667	822	408
668	823	407
669	824	405
670	824	404
671	825	402
672	825	401
673	826	399
674	827	398
675	827	396
676	828	395
677	829	393
678	829	392
679	830	390
680	830	389
681	831	387
682	832	386
683	832	384
684	833	383
685	834	381
686	834	380
687	835	378
688	836	377
689	836	375
690	837	374
691	837	372
692	838	371
693	839	369
694	839	368
695	840	367
696	841	365
697	841	364
698	842	362
699	843	361
700	843	359
701	844	358
702	845	357
703	845	355
704	846	354
705	847	352
706	847	351
707	848	350
708	849	348
709	850	347
710	850	345
711	851	344
712	852	343
713	852	341
714	853	340
715	854	338
716	854	337
717	855	336
718	856	334
719	856	333
720	857	331
721	858	330
722	858	329
723	859	327
724	860	326
725	860	324
726	861	323
727	862	322
728	862	320
729	863	319
730	864	318
731	865	316
732	865	315
733	866	314
734	867	312
735	868	311
736	868	310
737	869	308
738	870	307
739	871	306
740	872	304
741	872	303
742	873	302
743	874	300
744	874	299
745	875	298
746	876	296
747	876	295
748	877	294
749	878	292
750	878	291
751	879	290
752	880	288
753	880	287
754	881	286
755	882	284
756	883	283
757	883	282
758	884	280
759	885	279
760	886	278
761	886	277
762	887	275
763	888	274
764	889	273
765	890	271
766	890	270
767	891	269
768	892	268
769	893	266
770	893	265
771	894	264
772	895	262
773	896	261
774	896	260
775	897	259
776	898	257
777	898	256
778	899	255
779	900	253
780	900	252
781	901	251
782	902	250
783	903	248
784	903	247
785	904	246
786	905	244
787	905	243
788	906	242
789	907	241
790	907	239
791	908	238
792	909	237
793	909	236
794	910	234
795	911	233
796	912	232
797	913	231
798	913	229
799	914	228
800	915	227
801	916	226
802	917	225
803	918	223
804	918	222
805	919	221
806	920	220
807	921	218
808	921	217
809	922	216
810	922	215
811	923	213
812	924	212
813	925	211
814	926	210
815	927	209
816	927	207
817	928	206
818	929	205
819	930	204
820	931	203
821	932	201
822	932	200
823	933	199
824	934	198
825	935	197
826	936	195
827	937	194
828	937	193
829	938	192
830	939	191
831	940	189
832	941	188
833	941	187
834	942	186
835	943	185
836	944	183
837	945	182
838	946	181
839	947	180
840	948	179
841	949	178
842	950	176
843	951	175
844	952	174
845	953	173
846	954	172
847	955	171
848	956	170
849	957	168
850	958	167
851	959	166
852	960	165
853	961	164
854	962	163
855	963	162
856	964	160
857	965	159
858	966	158
859	967	157
860	967	156
861	968	155
862	969	153
863	970	152
864	971	151
865	972	150
866	973	149
867	974	148
868	974	146
869	975	145
870	976	144
871	977	143
872	978	142
873	978	141
874	979	139
875	980	138
876	980	137
877	981	136
878	982	135
879	982	134
880	983	132
881	984	131
882	985	130
883	985	129
884	986	128
885	987	127
886	988	125
887	988	124
888	989	123
889	990	122
890	991	121
891	992	120
892	993	119
893	994	117
894	994	116
895	995	115
896	996	114
897	997	113
898	998	112
899	999	111
900	1000	109
901	1000	108
902	1001	107
903	1002	106
904	1003	105
905	1003	104
906	1004	102
907	1005	101
908	1005	100
909	1006	99
910	1007	98
911	1008	97
912	1008	96
913	1009	94
914	1010	93
915	1011	92
916	1011	91
917	1012	90
918	1013	89
919	1014	88
920	1014	87
921	1015	85
922	1015	84
923	1016	83
924	1017	82
925	1017	81
926	1018	80
927	1019	79
928	1019	77
929	1020	76
930	1021	75
931	1021	74
932	1022	73
933	1022	72
934	1023	71
935	1024	70
936	1024	68
937	1025	67
938	1026	66
939	1026	65
940	1027	64
941	1028	63
942	1028	62
943	1029	61
944	1029	59
945	1030	58
946	1031	57
947	1031	56
948	1032	55
949	1033	54
950	1033	53
951	1034	52
952	1035	51
953	1035	49
954	1036	48
955	1036	47
956	1037	46
957	1038	45
958	1038	44
959	1039	43
960	1040	42
961	1040	41
962	1041	40
963	1042	38
964	1042	37
965	1043	36
966	1044	35
967	1045	34
968	1046	33
969	1047	32
970	1047	31
971	1048	30
972	1049	29
973	1049	28
974	1050	26
975	1051	25
976	1052	24
977	1052	23
978	1053	22
979	1054	21
980	1054	20
981	1055	19
982	1056	18
983	1057	17
984	1058	16
985	1059	15
986	1060	13
987	1061	12
988	1062	11
989	1063	10
990	1063	9
991	1064	8
992	1065	7
993	1066	6
994	1066	5
995	1067	4
996	1068	3
997	1069	2
998	1070	1
999	1071	0
